,x_0,x_1,grad_0,grad_1,task_0,funcalls_0,nit_0,warnflag_0,hessian_0,hessian_1,hessian_2,hessian_3,ppt_0,fun_0
0,0.07639231581241873,4.9436149479666005,1.421085472268197e-06,-7.105427400784031e-07,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,42,11,0,1038.6880665386625,27.07054227447147,27.07054227447147,0.8905210161874855,1,48.885636992781045
1,0.05689287211832993,6.04244327584907,-1.705302565538545e-05,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,57,14,0,2153.664419661542,35.75601095947988,35.75601095947988,0.6293761363926809,2,47.53303709252003
2,0.35663176226786397,1.0655643879255567,0.0,0.0,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,30,7,0,16.60495683175979,4.1219690253659405,4.1219690253659405,3.233523263961289,3,64.61578131649404
3,0.4465231737138377,1.775724933656902,1.9895196611754758e-05,-8.526512880940836e-06,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,33,9,0,45.75437106969406,4.6593656007538575,4.6593656007538575,3.5751792415447277,4,59.81470446484555
4,0.09066256315313032,10.0,7.105427361340985e-07,-0.8154308553157474,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,42,11,0,1792.4458781001135,9.953955169378716,9.953955169378716,0.2624589786245569,5,23.11010041579226
5,0.24191935620705976,1.5451302194615968,1.492139745881607e-05,1.3500312061489658e-05,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,36,10,0,29.41917816024582,6.800687587147383,6.800687587147383,2.7299715192151437,6,62.97002170224827
6,0.12789734826347926,4.204480467198465,4.9737991529386896e-06,0.0,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,39,10,0,266.9718316898735,13.598897093591166,13.598897093591166,1.2317813954020456,7,49.50337390027906
7,0.3371552920965941,2.8367293042680943,2.842170944536394e-06,0.0,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,36,10,0,62.88454632576163,5.2830813464718425,5.2830813464718425,2.532645027031883,8,51.43568300076865
8,0.02414049579569458,10.0,1.4210854712821208e-06,-0.018475530686561863,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,81,18,0,15382.111264797899,45.92113013550946,45.92113013550946,0.13193149905890855,9,57.344351144985026
9,0.28853573229132856,1.4161819031252754,-2.1316282084022956e-06,-7.105427400784031e-07,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,27,7,0,47.78677247242405,4.42743382326662,4.42743382326662,2.556317613145464,10,63.76687008062135
10,0.09057889065406176,8.406898120885625,2.842170944536394e-06,-7.105426769695354e-07,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,45,11,0,649.2056462527366,13.94150512812639,13.94150512812639,0.38903596270391083,11,41.11922516526788
11,0.30650921755161836,2.612241638698258,1.421085472268197e-06,0.0,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,30,8,0,23.231508372583846,6.180600864437427,6.180600864437427,2.8061951466250488,12,53.728642158984684
12,0.15842900969409004,1.1050301656155839,-0.00016058265836630626,5.684341920627225e-06,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,24,6,0,46.10089103796922,6.21123614023508,6.21123614023508,2.7339676522692367,13,64.81460829727699
13,0.08118858456088553,9.373662720690536,1.421085472268197e-05,1.4210853539390709e-06,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,48,11,0,1006.7191688947219,12.753827830875728,12.753827830875728,0.2357024057413119,14,35.62308541985554
14,0.026189532138293878,6.0010123379739175,-0.0003510081114066839,-2.131628220235209e-06,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,75,20,0,8924.348495751792,52.302440326883215,52.302440326883215,0.2906715497927034,15,60.63531482893717
15,0.9451007330170603,1.8591697517958004,1.421085464379588e-06,7.105427400784031e-07,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,30,8,0,29.3465660180209,5.983237061359052,5.983237061359052,4.567092274736776,16,55.400534184912686
16,0.24468010127815912,3.3102292597996428,-7.105427361340985e-07,0.0,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,36,10,0,146.86982340679512,9.183604417671296,9.183604417671296,1.2637295062255736,17,57.858744606926045
17,0.6911183819821587,1.5194095140695119,-1.421085464379588e-06,-1.4210854801568062e-06,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,27,7,0,21.069773607315696,5.336048621482325,5.336048621482325,5.016023182000302,18,59.68087823585091
18,0.05679217466788804,10.0,1.4210854712821208e-06,-0.04106510347277734,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,48,11,0,2881.848480714978,24.5435831510394,24.5435831510394,0.25685610305365,19,39.27160046259914
19,0.4511950040960705,0.7800553157316147,0.0,-1.5631940108175467e-05,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,42,10,0,6.905391466047787,3.18610920609619,3.18610920609619,5.325028529236178,910,64.86489140876277
20,0.03575546865151625,10.0,-2.9842794896924538e-05,-0.09245154987121414,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,54,12,0,6827.491310869418,31.094242129258753,31.094242129258753,0.16908569729545725,911,50.384075120050326
21,0.04269261096439871,4.714003540477755,-2.4868995747437114e-05,7.105427400784031e-07,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,66,18,0,2836.535085012617,41.38503264899015,41.38503264899015,0.6064886629946802,912,58.18842806483723
22,0.27970520542895105,2.807435807615374,-7.105427361340985e-06,-1.4210854801568062e-06,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,27,7,0,85.75149775815427,5.909514263122523,5.909514263122523,2.089465311883495,913,56.07044768025786
23,0.0256347684763861,9.613464397603051,-5.618990427560632,-0.06518092192912336,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,69,13,0,14625.566697726761,48.19906137174121,48.19906137174121,0.16354073280788672,914,56.315035214086734
